,Country,GDP_USD_billions
0,United States,26949.64
1,China,17700.9
2,European Union,18351.13
3,Germany,4429.84
4,Japan,4230.86
5,India,3732.22
6,United Kingdom,3332.06
7,France,3049.02
8,Italy,2186.08
9,Brazil,2126.81
10,Canada,2117.8
11,Russia,1862.47
12,Mexico,1811.47
13,South Korea,1709.23
14,Australia,1687.71
15,Spain,1582.05
16,Indonesia,1417.39
17,Turkey,1154.6
18,Netherlands,1092.75
19,Saudi Arabia,1069.44
20,Switzerland,905.68
21,Poland,842.17
22,Taiwan,751.93
23,Belgium,627.51
24,Argentina,621.83
25,Sweden,597.11
26,Ireland,589.57
27,Norway,546.77
28,Austria,526.18
29,Israel,521.69
30,Thailand,512.19
31,United Arab Emirates,509.18
32,Singapore,497.35
33,Bangladesh,446.35
34,Philippines,435.68
35,Vietnam,433.36
36,Malaysia,430.9
37,Denmark,420.8
38,Egypt,398.4
39,Nigeria,390.0
40,Hong Kong,385.55
41,South Africa,380.91
42,Iran,366.44
43,Colombia,363.84
44,Romania,350.41
45,Chile,344.4
46,Pakistan,340.64
47,Czech Republic,335.24
48,Finland,305.69
49,Iraq,297.7
50,Portugal,276.43
51,Peru,264.64
52,Kazakhstan,259.29
53,New Zealand,249.42
54,Greece,242.38
55,Qatar,235.5
56,Algeria,224.11
57,Hungary,203.83
58,Ukraine,173.41
59,Kuwait,159.69
60,Ethiopia,155.8
61,Morocco,147.34
62,Slovakia,133.04
63,Dominican Republic,120.63
64,Ecuador,118.69
65,Puerto Rico,117.52
66,Kenya,112.75
67,Oman,108.28
68,Bulgaria,103.1
69,Guatemala,102.76
70,Angola,93.8
71,Venezuela,92.21
72,Uzbekistan,90.39
73,Luxembourg,89.1
74,Costa Rica,85.59
75,Tanzania,84.03
76,Panama,82.35
77,Turkmenistan,81.82
78,Croatia,80.18
79,Ivory Coast,79.43
80,Lithuania,79.43
81,Azerbaijan,77.39
82,Ghana,76.63
83,Uruguay,76.24
84,Serbia,75.02
85,Myanmar,74.86
86,Belarus,68.86
87,Slovenia,68.39
88,DR Congo,67.51
89,Uganda,52.39
90,Tunisia,51.27
91,Jordan,50.02
92,Cameroon,49.26
93,Bolivia,46.8
94,Latvia,46.67
95,Bahrain,44.99
96,Paraguay,44.14
97,Estonia,41.8
98,Nepal,41.34
99,Libya,40.19
100,Macau,38.48
101,El Salvador,35.34
102,Honduras,33.99
103,Zimbabwe,32.42
104,Cyprus,32.03
105,Papua New Guinea,31.69
106,Senegal,31.14
107,Cambodia,30.94
108,Iceland,30.57
109,Georgia,30.02
110,Zambia,29.54
111,Trinidad and Tobago,27.89
112,Bosnia and Herzegovina,26.94
113,Haiti,25.99
114,Sudan,25.57
115,Armenia,24.54
116,Guinea,23.2
117,Albania,23.03
118,Mozambique,21.94
119,Mali,21.31
120,Yemen,21.04
121,Burkina Faso,20.78
122,Botswana,20.76
123,Malta,20.31
124,Benin,19.94
125,Gabon,19.32
126,Palestine,18.11
127,Mongolia,18.78
128,Jamaica,18.76
129,Nicaragua,17.35
130,Niger,17.07
131,Guyana,16.33
132,Moldova,16.0
133,North Macedonia,15.8
134,Madagascar,15.76
135,Brunei,15.15
136,Mauritius,14.82
137,Congo,14.41
138,Laos,14.24
139,Rwanda,13.93
140,Bahamas,13.88
141,Malawi,13.18
142,Kyrgyzstan,12.68
143,Namibia,12.65
144,Chad,12.6
145,Tajikistan,11.82
146,Somalia,11.52
147,Kosovo,10.47
148,Mauritania,10.36
149,Equatorial Guinea,10.04
150,Togo,9.11
151,Montenegro,7.06
152,Maldives,6.98
153,South Sudan,6.27
154,Barbados,6.22
155,Fiji,5.51
156,Eswatini,4.65
157,Liberia,4.35
158,Djibouti,3.87
159,Aruba,3.83
160,Andorra,3.69
161,Suriname,3.54
162,Sierra Leone,3.52
163,Belize,3.22
164,Burundi,3.19
165,Central African Republic,2.76
166,Bhutan,2.69
167,Cape Verde,2.6
168,Saint Lucia,2.47
169,Gambia,2.39
170,Lesotho,2.37
171,Seychelles,2.08
172,East Timor,2.02
173,San Marino,2.0
174,Guinea-Bissau,1.99
175,Antigua and Barbuda,1.95
176,Solomon Islands,1.69
177,Comoros,1.36
178,Grenada,1.31
179,Vanuatu,1.17
180,Saint Kitts and Nevis,1.07
181,Saint Vincent and the Grenadines,1.04
182,Samoa,0.94
183,Dominica,0.7
184,São Tomé and Príncipe,0.67
185,Tonga,0.55
186,Micronesia,0.46
187,Marshall Islands,0.28
188,Palau,0.27
189,Kiribati,0.25
190,Nauru,0.15
191,Tuvalu,0.06
